m	up	down
3.9039	7.90E-01	7.90E-01
3.9255	7.88E-01	7.88E-01
3.9471	7.87E-01	7.87E-01
3.9686	7.85E-01	7.85E-01
3.9902	7.84E-01	7.84E-01
4.0118	7.82E-01	7.82E-01
4.0333	7.81E-01	7.81E-01
4.0549	7.79E-01	7.79E-01
4.0765	7.78E-01	7.78E-01
4.0980	7.77E-01	7.77E-01
4.1196	7.75E-01	7.75E-01
4.1412	7.74E-01	7.74E-01
4.1627	7.72E-01	7.72E-01
4.1843	7.71E-01	7.71E-01
4.2059	7.69E-01	7.69E-01
4.2275	7.68E-01	7.68E-01
4.2490	7.66E-01	7.66E-01
4.2706	7.65E-01	7.65E-01
4.2922	7.63E-01	7.63E-01
4.3137	7.62E-01	7.62E-01
4.3353	7.60E-01	7.60E-01
4.3569	7.59E-01	7.59E-01
4.3784	7.57E-01	7.57E-01
4.4000	7.56E-01	7.56E-01
4.4216	7.54E-01	7.54E-01
4.4431	7.53E-01	7.53E-01
4.4647	7.51E-01	7.51E-01
4.4863	7.50E-01	7.50E-01
4.5078	7.49E-01	7.49E-01
4.5294	7.47E-01	7.47E-01
4.5510	7.46E-01	7.46E-01
4.5725	7.44E-01	7.44E-01
4.5941	7.43E-01	7.43E-01
4.6157	7.41E-01	7.41E-01
4.6373	7.40E-01	7.40E-01
4.6588	7.38E-01	7.38E-01
4.6804	7.37E-01	7.37E-01
4.7020	7.35E-01	7.35E-01
4.7235	7.34E-01	7.34E-01
4.7451	7.32E-01	7.32E-01
4.7667	7.31E-01	7.31E-01
4.7882	7.29E-01	7.29E-01
4.8098	7.28E-01	7.28E-01
4.8314	7.26E-01	7.26E-01
4.8529	7.25E-01	7.25E-01
4.8745	7.24E-01	7.24E-01
4.8961	7.22E-01	7.22E-01
4.9176	7.20E-01	7.20E-01
4.9392	7.14E-01	7.14E-01
4.9608	6.88E-01	6.88E-01
4.9824	5.76E-01	5.76E-01
5.0039	3.02E-01	3.02E-01
5.0255	8.21E-02	8.21E-02
5.0471	1.61E-02	1.61E-02
5.0686	2.92E-03	2.92E-03
5.0902	0.00E+00	0.00E+00
5.1118	0.00E+00	0.00E+00
5.1333	0.00E+00	0.00E+00
5.1549	0.00E+00	0.00E+00
5.1765	0.00E+00	0.00E+00
5.1980	0.00E+00	0.00E+00
5.2196	0.00E+00	0.00E+00
5.2412	0.00E+00	0.00E+00
5.2627	0.00E+00	0.00E+00
5.2843	0.00E+00	0.00E+00
5.3059	0.00E+00	0.00E+00
5.3275	0.00E+00	0.00E+00
5.3490	0.00E+00	0.00E+00
5.3706	0.00E+00	0.00E+00
5.3922	0.00E+00	0.00E+00
5.4137	0.00E+00	0.00E+00
5.4353	0.00E+00	0.00E+00
5.4569	0.00E+00	0.00E+00
5.4784	0.00E+00	0.00E+00
5.5000	0.00E+00	0.00E+00
