m	up	down
MC=1.5		
NITI=1		
COH=0		
1.4753	8.46E-01	8.46E-01
1.4818	7.81E-01	7.81E-01
1.4882	6.92E-01	6.92E-01
1.4947	5.81E-01	5.81E-01
1.5012	4.58E-01	4.58E-01
1.5076	3.38E-01	3.38E-01
1.5141	2.35E-01	2.35E-01
1.5206	1.55E-01	1.55E-01
1.5271	9.88E-02	9.88E-02
1.5335	6.14E-02	6.14E-02
1.5400	3.76E-02	3.76E-02
1.5465	2.27E-02	2.27E-02
1.5529	1.37E-02	1.37E-02
1.5594	8.19E-03	8.19E-03
1.5659	4.90E-03	4.90E-03
1.5724	2.92E-03	2.92E-03
1.5788	1.74E-03	1.74E-03
1.5853	1.04E-03	1.04E-03
1.5918	0.00E+00	0.00E+00
1.5982	0.00E+00	0.00E+00
1.6047	0.00E+00	0.00E+00
1.6112	0.00E+00	0.00E+00
1.6176	0.00E+00	0.00E+00
1.6241	0.00E+00	0.00E+00
1.6306	0.00E+00	0.00E+00
1.6371	0.00E+00	0.00E+00
1.6435	0.00E+00	0.00E+00
1.6500	0.00E+00	0.00E+00
