m	up	down
MC=2		
NITI=1		
COH=0		
2.0361	4.92E-02	4.92E-02
2.0447	2.53E-02	2.53E-02
2.0533	1.29E-02	1.29E-02
2.0620	6.49E-03	6.49E-03
2.0706	3.27E-03	3.27E-03
2.0792	1.64E-03	1.64E-03
2.0878	0.00E+00	0.00E+00
2.0965	0.00E+00	0.00E+00
2.1051	0.00E+00	0.00E+00
2.1137	0.00E+00	0.00E+00
2.1224	0.00E+00	0.00E+00
2.1310	0.00E+00	0.00E+00
2.1396	0.00E+00	0.00E+00
2.1482	0.00E+00	0.00E+00
2.1569	0.00E+00	0.00E+00
2.1655	0.00E+00	0.00E+00
2.1741	0.00E+00	0.00E+00
2.1827	0.00E+00	0.00E+00
2.1914	0.00E+00	0.00E+00
2.2000	0.00E+00	0.00E+00
